DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23,CVDID
2.0,3.0,2.0,1.0,5.0,55.0,2.0,2.0,5.0,5.0,2.0
3.0,3.0,3.0,1.0,49.0,64.0,2.0,2.0,5.0,5.0,3.0
2.0,1.0,2.0,4.0,5.0,23.0,1.0,1.0,7.0,1.0,4.0
2.0,1.0,1.0,6.0,5.0,47.0,2.0,2.0,5.0,2.0,6.0
2.0,2.0,4.0,4.0,47.0,48.0,2.0,2.0,5.0,3.0,7.0
2.0,5.0,1.0,6.0,17.0,36.0,2.0,2.0,5.0,3.0,8.0
2.0,1.0,2.0,1.0,5.0,23.0,2.0,2.0,5.0,2.0,9.0
2.0,7.0,3.0,4.0,10.0,21.0,1.0,2.0,6.0,3.0,10.0
2.0,4.0,2.0,4.0,5.0,28.0,2.0,1.0,5.0,3.0,11.0
3.0,2.0,2.0,1.0,18.0,56.0,1.0,2.0,5.0,6.0,12.0
2.0,1.0,1.0,5.0,3.0,26.0,1.0,2.0,2.0,5.0,13.0
3.0,1.0,3.0,3.0,36.0,69.0,2.0,2.0,5.0,2.0,14.0
2.0,1.0,2.0,1.0,10.0,38.0,2.0,2.0,4.0,5.0,16.0
2.0,1.0,2.0,2.0,23.0,48.0,1.0,2.0,5.0,3.0,17.0
2.0,6.0,2.0,3.0,5.0,50.0,2.0,2.0,5.0,4.0,19.0
3.0,2.0,2.0,3.0,5.0,71.0,1.0,2.0,5.0,5.0,20.0
2.0,4.0,3.0,1.0,20.0,50.0,2.0,2.0,5.0,5.0,21.0
3.0,3.0,2.0,2.0,17.0,74.0,1.0,2.0,5.0,2.0,22.0
3.0,1.0,2.0,4.0,32.0,58.0,1.0,2.0,5.0,2.0,23.0
2.0,2.0,2.0,7.0,10.0,29.0,1.0,2.0,5.0,2.0,25.0
2.0,1.0,2.0,3.0,7.0,20.0,2.0,2.0,2.0,2.0,26.0
2.0,1.0,2.0,3.0,42.0,61.0,2.0,2.0,5.0,4.0,28.0
2.0,1.0,3.0,2.0,48.0,24.0,1.0,2.0,5.0,1.0,29.0
2.0,7.0,4.0,1.0,3.0,23.0,2.0,2.0,1.0,1.0,30.0
2.0,1.0,2.0,1.0,43.0,25.0,1.0,1.0,5.0,3.0,31.0
2.0,1.0,2.0,2.0,5.0,36.0,1.0,2.0,5.0,2.0,33.0
2.0,7.0,2.0,4.0,5.0,21.0,1.0,2.0,2.0,2.0,34.0
2.0,1.0,2.0,1.0,47.0,54.0,1.0,2.0,5.0,3.0,35.0
2.0,1.0,2.0,4.0,13.0,20.0,1.0,1.0,7.0,3.0,36.0
2.0,1.0,2.0,2.0,4.0,32.0,1.0,2.0,5.0,2.0,38.0
2.0,1.0,3.0,3.0,25.0,26.0,2.0,2.0,2.0,9.0,39.0
2.0,1.0,3.0,3.0,10.0,21.0,2.0,2.0,4.0,3.0,40.0
2.0,1.0,2.0,3.0,5.0,36.0,1.0,2.0,2.0,7.0,41.0
2.0,1.0,2.0,1.0,47.0,49.0,2.0,2.0,4.0,5.0,42.0
2.0,1.0,2.0,2.0,6.0,55.0,2.0,2.0,2.0,3.0,44.0
3.0,1.0,2.0,1.0,47.0,65.0,2.0,2.0,5.0,2.0,45.0
2.0,1.0,3.0,5.0,9.0,24.0,2.0,2.0,5.0,2.0,47.0
2.0,1.0,2.0,1.0,1.0,36.0,2.0,2.0,5.0,3.0,48.0
2.0,1.0,2.0,2.0,14.0,34.0,2.0,2.0,5.0,3.0,51.0
2.0,1.0,2.0,2.0,5.0,25.0,1.0,2.0,3.0,2.0,52.0
2.0,1.0,3.0,6.0,26.0,44.0,1.0,2.0,5.0,3.0,53.0
2.0,7.0,3.0,4.0,5.0,19.0,1.0,1.0,5.0,2.0,54.0
2.0,1.0,2.0,1.0,14.0,44.0,1.0,2.0,5.0,4.0,55.0
2.0,5.0,2.0,2.0,46.0,34.0,2.0,2.0,4.0,7.0,56.0
2.0,5.0,2.0,1.0,22.0,18.0,1.0,2.0,4.0,1.0,57.0
2.0,1.0,4.0,1.0,14.0,44.0,1.0,2.0,5.0,3.0,58.0
3.0,4.0,3.0,2.0,43.0,58.0,2.0,2.0,5.0,7.0,59.0
3.0,1.0,1.0,7.0,43.0,60.0,2.0,2.0,5.0,2.0,60.0
2.0,4.0,2.0,3.0,35.0,54.0,2.0,2.0,5.0,5.0,61.0
3.0,2.0,1.0,5.0,14.0,64.0,1.0,2.0,5.0,3.0,63.0
2.0,2.0,1.0,6.0,21.0,49.0,2.0,1.0,5.0,7.0,64.0
3.0,3.0,2.0,1.0,5.0,66.0,1.0,2.0,5.0,6.0,65.0
2.0,1.0,3.0,3.0,7.0,35.0,1.0,2.0,5.0,3.0,69.0
2.0,1.0,2.0,2.0,3.0,21.0,1.0,2.0,6.0,3.0,72.0
2.0,1.0,2.0,1.0,3.0,28.0,2.0,1.0,5.0,2.0,73.0
2.0,1.0,1.0,7.0,5.0,25.0,1.0,1.0,5.0,2.0,76.0
2.0,1.0,2.0,6.0,49.0,24.0,1.0,2.0,2.0,6.0,78.0
2.0,1.0,3.0,4.0,10.0,52.0,2.0,2.0,5.0,3.0,79.0
1.0,1.0,2.0,5.0,5.0,19.0,2.0,1.0,6.0,3.0,80.0
2.0,1.0,2.0,3.0,35.0,23.0,1.0,1.0,5.0,4.0,83.0
2.0,1.0,1.0,5.0,23.0,25.0,2.0,2.0,2.0,5.0,84.0
2.0,1.0,2.0,1.0,35.0,30.0,1.0,2.0,5.0,2.0,86.0
2.0,1.0,2.0,1.0,5.0,39.0,1.0,2.0,2.0,5.0,88.0
2.0,1.0,3.0,1.0,37.0,21.0,1.0,2.0,5.0,3.0,89.0
3.0,1.0,3.0,5.0,28.0,63.0,1.0,2.0,5.0,5.0,91.0
3.0,2.0,1.0,7.0,37.0,68.0,2.0,2.0,5.0,5.0,93.0
3.0,2.0,2.0,2.0,47.0,55.0,2.0,2.0,5.0,3.0,96.0
2.0,1.0,3.0,4.0,32.0,21.0,1.0,2.0,5.0,2.0,97.0
2.0,1.0,2.0,1.0,32.0,30.0,2.0,2.0,4.0,7.0,99.0
2.0,1.0,1.0,7.0,46.0,38.0,1.0,2.0,5.0,3.0,100.0
2.0,1.0,2.0,2.0,5.0,35.0,1.0,2.0,5.0,5.0,101.0
3.0,4.0,3.0,6.0,32.0,56.0,1.0,2.0,5.0,5.0,103.0
2.0,1.0,1.0,5.0,5.0,38.0,1.0,2.0,5.0,2.0,104.0
2.0,7.0,2.0,2.0,36.0,23.0,1.0,2.0,5.0,5.0,107.0
2.0,1.0,3.0,2.0,18.0,34.0,1.0,2.0,5.0,3.0,109.0
2.0,2.0,2.0,1.0,25.0,47.0,1.0,2.0,4.0,5.0,111.0
2.0,1.0,3.0,4.0,22.0,58.0,2.0,2.0,5.0,2.0,112.0
2.0,2.0,3.0,6.0,42.0,68.0,2.0,2.0,5.0,8.0,113.0
3.0,1.0,2.0,2.0,17.0,66.0,2.0,2.0,4.0,3.0,114.0
2.0,1.0,2.0,2.0,37.0,56.0,1.0,2.0,5.0,5.0,116.0
2.0,2.0,2.0,2.0,36.0,35.0,2.0,2.0,5.0,2.0,117.0
2.0,2.0,2.0,1.0,5.0,22.0,2.0,1.0,7.0,3.0,119.0
2.0,7.0,2.0,2.0,10.0,20.0,2.0,2.0,2.0,2.0,122.0
3.0,2.0,2.0,2.0,43.0,61.0,2.0,2.0,5.0,3.0,124.0
2.0,1.0,3.0,3.0,33.0,27.0,1.0,2.0,4.0,3.0,125.0
2.0,1.0,2.0,1.0,35.0,26.0,1.0,2.0,5.0,1.0,126.0
2.0,5.0,1.0,5.0,35.0,49.0,2.0,2.0,5.0,2.0,129.0
2.0,1.0,2.0,3.0,5.0,19.0,1.0,2.0,2.0,3.0,130.0
2.0,1.0,2.0,2.0,47.0,28.0,1.0,2.0,5.0,4.0,132.0
2.0,1.0,2.0,2.0,28.0,23.0,1.0,2.0,2.0,3.0,133.0
2.0,7.0,2.0,2.0,5.0,19.0,2.0,2.0,2.0,2.0,134.0
2.0,1.0,3.0,4.0,47.0,54.0,2.0,2.0,7.0,3.0,135.0
2.0,1.0,2.0,2.0,5.0,18.0,1.0,2.0,5.0,2.0,136.0
2.0,1.0,3.0,4.0,4.0,41.0,2.0,2.0,5.0,3.0,139.0
3.0,3.0,1.0,7.0,5.0,62.0,1.0,2.0,5.0,5.0,140.0
3.0,1.0,2.0,3.0,30.0,46.0,2.0,2.0,5.0,7.0,141.0
2.0,1.0,1.0,7.0,47.0,62.0,2.0,2.0,5.0,2.0,142.0
2.0,1.0,3.0,5.0,43.0,25.0,1.0,2.0,4.0,4.0,143.0
2.0,1.0,3.0,1.0,9.0,26.0,1.0,2.0,5.0,2.0,145.0
2.0,1.0,3.0,4.0,13.0,30.0,1.0,2.0,5.0,2.0,146.0
2.0,3.0,4.0,2.0,22.0,35.0,2.0,2.0,5.0,1.0,148.0
2.0,1.0,3.0,3.0,49.0,34.0,1.0,2.0,5.0,3.0,149.0
