CVDID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
18.0,3.0,2.0,3.0,4.0,14.0,60.0,1.0,2.0,5.0,3.0
24.0,2.0,1.0,2.0,1.0,47.0,52.0,2.0,2.0,5.0,3.0
27.0,2.0,1.0,3.0,3.0,18.0,22.0,2.0,1.0,5.0,5.0
43.0,2.0,1.0,2.0,3.0,23.0,20.0,1.0,2.0,5.0,1.0
46.0,2.0,2.0,4.0,1.0,47.0,25.0,2.0,2.0,5.0,4.0
50.0,2.0,1.0,3.0,3.0,43.0,32.0,2.0,2.0,5.0,2.0
66.0,2.0,1.0,3.0,5.0,33.0,20.0,1.0,2.0,5.0,2.0
68.0,2.0,1.0,2.0,1.0,48.0,23.0,1.0,2.0,5.0,3.0
70.0,2.0,1.0,2.0,2.0,43.0,56.0,2.0,2.0,5.0,7.0
74.0,2.0,1.0,2.0,2.0,5.0,29.0,2.0,2.0,5.0,2.0
75.0,2.0,1.0,2.0,1.0,37.0,42.0,2.0,2.0,5.0,3.0
77.0,2.0,1.0,3.0,2.0,5.0,22.0,1.0,1.0,5.0,5.0
81.0,2.0,1.0,2.0,2.0,22.0,23.0,1.0,2.0,5.0,1.0
82.0,3.0,5.0,2.0,3.0,21.0,37.0,2.0,2.0,5.0,3.0
85.0,2.0,1.0,2.0,2.0,38.0,33.0,1.0,2.0,5.0,2.0
90.0,2.0,5.0,3.0,4.0,10.0,27.0,1.0,2.0,5.0,3.0
92.0,2.0,1.0,2.0,3.0,10.0,20.0,1.0,1.0,6.0,3.0
94.0,2.0,1.0,2.0,2.0,32.0,26.0,2.0,1.0,8.0,4.0
102.0,2.0,3.0,3.0,2.0,3.0,25.0,1.0,2.0,5.0,2.0
108.0,2.0,4.0,2.0,2.0,5.0,46.0,2.0,2.0,6.0,5.0
110.0,2.0,1.0,2.0,2.0,3.0,43.0,1.0,2.0,5.0,3.0
118.0,3.0,1.0,1.0,5.0,43.0,48.0,1.0,2.0,5.0,4.0
128.0,2.0,1.0,3.0,2.0,13.0,24.0,1.0,2.0,5.0,4.0
131.0,2.0,1.0,2.0,3.0,35.0,30.0,2.0,2.0,2.0,9.0
138.0,2.0,1.0,3.0,4.0,5.0,18.0,1.0,2.0,2.0,2.0
144.0,2.0,1.0,3.0,4.0,22.0,21.0,1.0,2.0,5.0,2.0
151.0,2.0,1.0,2.0,2.0,21.0,18.0,1.0,2.0,2.0,3.0
159.0,2.0,1.0,2.0,2.0,30.0,19.0,1.0,2.0,5.0,3.0
169.0,2.0,1.0,2.0,3.0,43.0,41.0,1.0,1.0,5.0,5.0
172.0,2.0,7.0,2.0,2.0,47.0,21.0,1.0,2.0,5.0,3.0
173.0,2.0,3.0,3.0,4.0,43.0,19.0,1.0,2.0,5.0,3.0
175.0,2.0,1.0,2.0,3.0,24.0,19.0,1.0,2.0,4.0,3.0
180.0,2.0,1.0,3.0,2.0,47.0,30.0,2.0,1.0,6.0,3.0
183.0,3.0,4.0,2.0,3.0,47.0,71.0,2.0,2.0,5.0,5.0
195.0,2.0,6.0,2.0,1.0,33.0,22.0,1.0,2.0,5.0,5.0
196.0,2.0,1.0,1.0,5.0,9.0,25.0,1.0,2.0,5.0,3.0
197.0,2.0,1.0,4.0,1.0,30.0,28.0,2.0,2.0,2.0,5.0
198.0,3.0,5.0,3.0,7.0,35.0,59.0,1.0,2.0,5.0,5.0
199.0,2.0,3.0,2.0,2.0,9.0,28.0,2.0,1.0,7.0,4.0
210.0,2.0,1.0,1.0,5.0,11.0,20.0,1.0,2.0,4.0,3.0
213.0,3.0,1.0,3.0,2.0,22.0,62.0,2.0,2.0,5.0,3.0
227.0,3.0,3.0,2.0,1.0,16.0,38.0,2.0,2.0,3.0,4.0
237.0,2.0,1.0,1.0,4.0,5.0,52.0,2.0,2.0,5.0,4.0
238.0,2.0,1.0,3.0,1.0,36.0,23.0,2.0,2.0,5.0,2.0
239.0,2.0,1.0,3.0,1.0,37.0,19.0,2.0,2.0,5.0,3.0
243.0,3.0,3.0,3.0,1.0,3.0,54.0,2.0,2.0,5.0,3.0
245.0,1.0,2.0,3.0,4.0,47.0,28.0,1.0,2.0,5.0,3.0
250.0,2.0,7.0,2.0,2.0,21.0,18.0,2.0,1.0,5.0,2.0
254.0,2.0,1.0,2.0,2.0,25.0,19.0,2.0,2.0,5.0,3.0
257.0,2.0,1.0,3.0,4.0,47.0,28.0,2.0,2.0,5.0,2.0
259.0,2.0,1.0,2.0,2.0,14.0,24.0,2.0,2.0,5.0,5.0
274.0,2.0,1.0,2.0,2.0,22.0,19.0,2.0,2.0,4.0,3.0
275.0,2.0,1.0,2.0,1.0,13.0,21.0,1.0,2.0,5.0,3.0
276.0,2.0,1.0,1.0,5.0,42.0,18.0,1.0,2.0,5.0,3.0
278.0,1.0,1.0,3.0,5.0,13.0,19.0,1.0,2.0,5.0,3.0
281.0,2.0,1.0,3.0,2.0,28.0,21.0,2.0,2.0,2.0,3.0
283.0,2.0,1.0,2.0,3.0,20.0,25.0,2.0,2.0,5.0,5.0
287.0,2.0,1.0,3.0,1.0,5.0,22.0,2.0,2.0,5.0,4.0
288.0,1.0,1.0,4.0,4.0,5.0,22.0,1.0,2.0,2.0,5.0
289.0,2.0,1.0,3.0,4.0,42.0,31.0,1.0,2.0,4.0,5.0
291.0,2.0,1.0,2.0,3.0,32.0,29.0,2.0,2.0,4.0,3.0
295.0,2.0,1.0,4.0,4.0,37.0,32.0,1.0,2.0,5.0,3.0
300.0,2.0,1.0,2.0,2.0,47.0,24.0,1.0,2.0,5.0,1.0
302.0,2.0,1.0,2.0,1.0,29.0,23.0,1.0,2.0,5.0,5.0
306.0,2.0,1.0,2.0,1.0,14.0,29.0,2.0,2.0,5.0,5.0
307.0,2.0,1.0,2.0,1.0,23.0,19.0,1.0,2.0,5.0,3.0
315.0,2.0,1.0,3.0,5.0,11.0,38.0,2.0,2.0,6.0,9.0
324.0,2.0,1.0,3.0,2.0,12.0,33.0,2.0,1.0,5.0,3.0
326.0,2.0,1.0,2.0,1.0,5.0,34.0,2.0,2.0,5.0,4.0
329.0,2.0,1.0,3.0,3.0,28.0,19.0,2.0,2.0,2.0,3.0
330.0,2.0,1.0,3.0,4.0,9.0,51.0,2.0,2.0,5.0,2.0
331.0,1.0,1.0,2.0,2.0,47.0,19.0,2.0,2.0,5.0,3.0
334.0,2.0,1.0,2.0,2.0,21.0,23.0,1.0,2.0,5.0,3.0
335.0,2.0,1.0,3.0,4.0,5.0,25.0,1.0,1.0,7.0,3.0
337.0,2.0,1.0,2.0,2.0,5.0,24.0,2.0,2.0,4.0,6.0
339.0,2.0,1.0,2.0,2.0,22.0,27.0,1.0,2.0,5.0,5.0
344.0,2.0,1.0,2.0,3.0,30.0,19.0,1.0,1.0,4.0,3.0
346.0,1.0,1.0,2.0,2.0,43.0,23.0,1.0,2.0,5.0,2.0
348.0,2.0,1.0,2.0,1.0,47.0,35.0,2.0,2.0,5.0,5.0
351.0,2.0,1.0,2.0,1.0,23.0,24.0,1.0,1.0,5.0,3.0
352.0,2.0,1.0,2.0,2.0,18.0,31.0,2.0,1.0,5.0,3.0
357.0,2.0,1.0,2.0,2.0,14.0,70.0,2.0,2.0,5.0,7.0
369.0,2.0,1.0,4.0,1.0,25.0,23.0,1.0,2.0,5.0,3.0
373.0,2.0,1.0,2.0,3.0,32.0,26.0,1.0,2.0,5.0,5.0
375.0,2.0,1.0,2.0,3.0,5.0,19.0,2.0,2.0,2.0,3.0
378.0,2.0,1.0,2.0,3.0,3.0,19.0,2.0,2.0,2.0,3.0
379.0,2.0,1.0,2.0,3.0,21.0,29.0,1.0,2.0,2.0,6.0
380.0,2.0,1.0,1.0,5.0,14.0,25.0,1.0,2.0,5.0,3.0
381.0,2.0,1.0,4.0,5.0,18.0,44.0,1.0,2.0,5.0,3.0
382.0,1.0,3.0,4.0,1.0,43.0,36.0,2.0,2.0,5.0,4.0
386.0,1.0,1.0,2.0,3.0,9.0,55.0,1.0,2.0,4.0,5.0
393.0,1.0,4.0,2.0,2.0,32.0,31.0,2.0,3.0,5.0,5.0
396.0,2.0,1.0,2.0,2.0,43.0,36.0,1.0,2.0,2.0,3.0
399.0,1.0,1.0,2.0,4.0,39.0,38.0,1.0,2.0,5.0,5.0
400.0,2.0,1.0,2.0,3.0,22.0,29.0,2.0,2.0,5.0,4.0
404.0,2.0,1.0,2.0,4.0,43.0,32.0,2.0,1.0,5.0,4.0
412.0,2.0,1.0,1.0,5.0,5.0,32.0,2.0,2.0,5.0,3.0
415.0,2.0,1.0,3.0,4.0,13.0,63.0,2.0,2.0,5.0,5.0
418.0,1.0,1.0,2.0,1.0,38.0,36.0,1.0,2.0,5.0,5.0
421.0,2.0,1.0,2.0,1.0,28.0,23.0,2.0,1.0,7.0,5.0
422.0,2.0,1.0,2.0,2.0,14.0,46.0,2.0,2.0,4.0,4.0
425.0,2.0,1.0,2.0,2.0,5.0,29.0,1.0,2.0,5.0,5.0
426.0,2.0,1.0,2.0,1.0,5.0,23.0,2.0,3.0,8.0,5.0
430.0,2.0,1.0,1.0,6.0,33.0,30.0,2.0,2.0,6.0,4.0
441.0,1.0,7.0,1.0,5.0,22.0,49.0,1.0,2.0,5.0,2.0
446.0,2.0,1.0,3.0,2.0,32.0,47.0,1.0,2.0,4.0,5.0
449.0,2.0,1.0,1.0,6.0,43.0,41.0,2.0,1.0,5.0,3.0
456.0,1.0,1.0,2.0,1.0,49.0,40.0,2.0,2.0,5.0,5.0
458.0,2.0,1.0,2.0,2.0,5.0,24.0,2.0,2.0,5.0,3.0
464.0,2.0,1.0,3.0,4.0,5.0,26.0,1.0,2.0,4.0,2.0
468.0,1.0,1.0,2.0,4.0,23.0,35.0,1.0,2.0,5.0,2.0
472.0,1.0,1.0,2.0,2.0,10.0,20.0,2.0,2.0,5.0,3.0
473.0,1.0,1.0,2.0,1.0,5.0,21.0,2.0,2.0,5.0,3.0
474.0,1.0,1.0,3.0,2.0,30.0,20.0,2.0,2.0,6.0,3.0
475.0,1.0,1.0,2.0,2.0,9.0,36.0,2.0,2.0,5.0,3.0
477.0,1.0,1.0,2.0,2.0,32.0,43.0,2.0,2.0,5.0,4.0
487.0,1.0,4.0,1.0,6.0,22.0,55.0,2.0,2.0,5.0,3.0
488.0,2.0,1.0,2.0,2.0,37.0,22.0,1.0,2.0,5.0,3.0
497.0,2.0,1.0,1.0,7.0,20.0,40.0,1.0,2.0,5.0,2.0
502.0,2.0,1.0,2.0,1.0,38.0,31.0,2.0,2.0,5.0,5.0
505.0,2.0,1.0,2.0,2.0,23.0,26.0,2.0,2.0,4.0,5.0
506.0,1.0,1.0,2.0,1.0,14.0,21.0,2.0,1.0,5.0,3.0
508.0,2.0,1.0,2.0,1.0,33.0,46.0,2.0,2.0,5.0,5.0
510.0,2.0,1.0,3.0,2.0,11.0,30.0,2.0,2.0,2.0,5.0
515.0,2.0,1.0,2.0,2.0,37.0,25.0,2.0,2.0,5.0,5.0
545.0,1.0,1.0,1.0,5.0,42.0,48.0,2.0,2.0,5.0,5.0
546.0,1.0,1.0,3.0,2.0,18.0,45.0,1.0,1.0,6.0,3.0
552.0,1.0,1.0,2.0,2.0,22.0,27.0,1.0,2.0,5.0,3.0
554.0,1.0,1.0,2.0,3.0,30.0,44.0,2.0,2.0,4.0,7.0
558.0,1.0,1.0,2.0,1.0,5.0,22.0,2.0,2.0,5.0,3.0
565.0,2.0,1.0,2.0,4.0,32.0,27.0,1.0,2.0,2.0,5.0
567.0,1.0,5.0,2.0,2.0,35.0,33.0,2.0,2.0,5.0,9.0
568.0,1.0,2.0,2.0,1.0,27.0,18.0,2.0,2.0,5.0,2.0
577.0,1.0,5.0,1.0,5.0,22.0,31.0,2.0,2.0,5.0,5.0
582.0,2.0,1.0,2.0,2.0,48.0,29.0,2.0,2.0,5.0,5.0
